Year,Month,Total_Items,Total_Patients,item_patient_ratio
2014,1,3156917,1979240,1.595014753
2015,1,3172836,1979240,1.603057739
2016,1,3148041,1982131,1.588210366
2017,1,3291933,1982131,1.660804962
2018,1,3535099,1982131,1.783484038
2019,1,3582500,1966803,1.821483901
2020,1,3541894,1960977,1.806188446
2014,2,2862378,1979240,1.446200562
2015,2,2954914,1979240,1.492953861
2016,2,3110878,1982131,1.569461352
2017,2,3037004,1982131,1.532191364
2018,2,3101902,1982131,1.564932893
2019,2,3120715,1966803,1.586694244
2020,2,3173227,1960977,1.618186751
2014,3,2973063,1979240,1.502123542
2015,3,3201825,1979240,1.61770427
2016,3,3255696,1982131,1.642523123
2017,3,3420880,1982131,1.725859693
2018,3,3397328,1982131,1.713977532
2019,3,3282623,1966803,1.669014639
2013,4,2974383,1979240,1.502790465
2014,4,3025228,1979240,1.528479618
2015,4,3033843,1979240,1.532832299
2016,4,3255233,1982131,1.642289536
2017,4,3042212,1982131,1.534818839
2018,4,3157160,1974423,1.599029185
2019,4,3319108,1966803,1.687565048
2013,5,3044255,1979240,1.538092904
2014,5,3077667,1979240,1.554974131
2015,5,3041090,1968443,1.544921545
2016,5,3190322,1982131,1.609541448
2017,5,3394000,1982131,1.712298531
2018,5,3407463,1974423,1.725801918
2019,5,3513725,1965410,1.787782193
2013,6,2893863,1979240,1.462108183
2014,6,3129619,1979240,1.58122259
2015,6,3161219,1979240,1.597188315
2016,6,3319244,1982131,1.674583567
2017,6,3379165,1982131,1.704814162
2018,6,3332549,1974423,1.687859694
2019,6,3219151,1965410,1.637903033
2013,7,3005786,1979240,1.518656656
2014,7,3071008,1979240,1.551609709
2015,7,3275518,1979240,1.654937249
2016,7,3093206,1982131,1.560545696
2017,7,3146688,1982131,1.587527767
2018,7,3278073,1972148,1.662184075
2019,7,3479281,1960977,1.774258954
2013,8,3015252,1979240,1.5234393
2014,8,2999700,1979240,1.515581738
2015,8,2971769,1982131,1.499279816
2016,8,3275492,1982131,1.652510354
2017,8,3329887,1982131,1.67995304
2018,8,3377305,1972148,1.712500786
2019,8,3358659,1960977,1.712747778
2013,9,2892735,1979240,1.461538267
2014,9,3044052,1979240,1.53799034
2015,9,3118581,1982131,1.573347574
2016,9,3270996,1982131,1.650242088
2017,9,3217824,1982131,1.623416414
2018,9,3116427,1972148,1.580219639
2019,9,3301444,1960977,1.683570995
2013,10,3008070,1979240,1.519810634
2014,10,3153284,1979240,1.5931792
2015,10,3165609,1982131,1.597073554
2016,10,3150954,1982131,1.589679996
2017,10,3339722,1982131,1.684914872
2018,10,3491725,1972148,1.770518744
2019,10,3571257,1960977,1.821162104
2013,11,2958411,1979240,1.494720701
2014,11,2951128,1979240,1.491041006
2015,11,3113484,1982131,1.570776099
2016,11,3292297,1982131,1.660988603
2017,11,3330772,1982131,1.68039953
2018,11,3349449,1969428,1.700721732
2019,11,3338720,1960977,1.702579887
2013,12,3012761,1979240,1.522180736
2014,12,3158035,1979240,1.595579616
2015,12,3243759,1982131,1.636500817
2016,12,3305194,1982131,1.667495236
2017,12,3243773,1982131,1.63650788
2018,12,3167618,1966803,1.610541574
2019,12,3429405,1960977,1.748824693
